threads,problem_size,scaling,repeat,time
10,100000000,weak,3,3.251942
12,100000000,strong,6,0.270942
11,100000000,weak,3,3.262601
1,100000000,strong,7,3.249837
2,100000000,strong,7,1.624498
12,100000000,weak,3,3.261354
3,100000000,strong,7,1.083107
4,100000000,strong,7,0.812388
1,100000000,weak,4,3.250532
5,100000000,strong,7,0.673748
6,100000000,strong,7,0.541728
2,100000000,weak,4,3.270350
7,100000000,strong,7,0.481286
8,100000000,strong,7,0.406312
3,100000000,weak,4,3.259873
9,100000000,strong,7,0.361172
10,100000000,strong,7,0.325185
11,100000000,strong,7,0.295564
4,100000000,weak,4,3.257296
12,100000000,strong,7,0.270951
5,100000000,weak,4,3.259310
1,100000000,strong,8,3.249292
2,100000000,strong,8,1.633008
6,100000000,weak,4,3.252649
3,100000000,strong,8,1.082995
4,100000000,strong,8,0.813158
7,100000000,weak,4,3.250430
5,100000000,strong,8,0.649959
6,100000000,strong,8,0.541582
8,100000000,weak,4,3.251424
7,100000000,strong,8,0.464366
8,100000000,strong,8,0.406487
9,100000000,weak,4,3.263276
9,100000000,strong,8,0.361431
10,100000000,strong,8,0.325120
11,100000000,strong,8,0.295491
10,100000000,weak,4,3.381589
12,100000000,strong,8,0.270951
11,100000000,weak,4,3.261982
1,100000000,strong,9,3.249301
2,100000000,strong,9,1.624724
12,100000000,weak,4,3.259902
3,100000000,strong,9,1.082957
4,100000000,strong,9,0.812884
1,100000000,weak,5,3.260457
5,100000000,strong,9,0.649894
6,100000000,strong,9,0.541725
2,100000000,weak,5,3.259928
7,100000000,strong,9,0.481197
8,100000000,strong,9,0.421138
9,100000000,strong,9,0.374316
3,100000000,weak,5,3.252171
10,100000000,strong,9,0.325069
11,100000000,strong,9,0.306245
4,100000000,weak,5,3.252377
12,100000000,strong,9,0.280788
5,100000000,weak,5,3.369496
1,100000000,strong,10,3.250034
2,100000000,strong,10,1.625063
6,100000000,weak,5,3.251291
3,100000000,strong,10,1.083068
4,100000000,strong,10,0.817900
7,100000000,weak,5,3.260519
5,100000000,strong,10,0.650023
6,100000000,strong,10,0.541659
8,100000000,weak,5,3.258420
7,100000000,strong,10,0.464898
8,100000000,strong,10,0.406271
9,100000000,strong,10,0.361267
9,100000000,weak,5,3.261380
10,100000000,strong,10,0.325062
11,100000000,strong,10,0.295513
10,100000000,weak,5,3.256389
12,100000000,strong,10,0.271102
11,100000000,weak,5,3.375468
12,100000000,weak,5,3.274559
1,100000000,weak,6,3.251660
2,100000000,weak,6,3.256239
3,100000000,weak,6,3.255085
4,100000000,weak,6,3.251836
5,100000000,weak,6,3.258017
6,100000000,weak,6,3.378228
7,100000000,weak,6,3.262775
8,100000000,weak,6,3.254642
9,100000000,weak,6,3.372819
10,100000000,weak,6,3.332968
11,100000000,weak,6,3.536624
12,100000000,weak,6,3.375476
1,100000000,weak,7,3.254527
2,100000000,weak,7,3.260664
3,100000000,weak,7,3.257417
4,100000000,weak,7,3.251474
5,100000000,weak,7,3.267486
6,100000000,weak,7,3.378239
7,100000000,weak,7,3.374053
8,100000000,weak,7,3.269942
9,100000000,weak,7,3.258540
10,100000000,weak,7,3.257324
11,100000000,weak,7,3.253080
12,100000000,weak,7,3.251133
1,100000000,weak,8,3.251467
2,100000000,weak,8,3.257388
3,100000000,weak,8,3.266487
4,100000000,weak,8,3.263447
5,100000000,weak,8,3.255380
6,100000000,weak,8,3.262016
7,100000000,weak,8,3.257966
8,100000000,weak,8,3.255205
9,100000000,weak,8,3.253908
10,100000000,weak,8,3.260049
11,100000000,weak,8,3.252715
12,100000000,weak,8,3.259013
1,100000000,weak,9,3.260084
2,100000000,weak,9,3.260621
3,100000000,weak,9,3.253804
4,100000000,weak,9,3.261096
5,100000000,weak,9,3.257210
6,100000000,weak,9,3.258540
7,100000000,weak,9,3.255209
8,100000000,weak,9,3.257362
9,100000000,weak,9,3.252674
10,100000000,weak,9,3.252624
11,100000000,weak,9,3.262814
12,100000000,weak,9,3.376178
1,100000000,weak,10,3.251791
2,100000000,weak,10,3.266125
3,100000000,weak,10,3.257938
4,100000000,weak,10,3.257086
5,100000000,weak,10,3.254699
6,100000000,weak,10,3.251043
7,100000000,weak,10,3.250838
8,100000000,weak,10,3.255228
9,100000000,weak,10,3.265199
10,100000000,weak,10,3.258009
11,100000000,weak,10,3.267810
12,100000000,weak,10,3.379530
